TWS Configured Shortcuts:

Action                      |        Key               
------------------------------------------------------------------------
Buy LMT at Bid              | End               
Sell LMT at Ask             | Home
Delete Rows/Cancel Orders   | Del
                            |
Incr. Lmt price 100 ticks   | Right Arrow
Decr. Lmt price 100 ticks   | Left Arrow
Incr. Lmt price 20 ticks    | Ctrl+Right Arrow
Decr. Lmt price 20 ticks    | Ctrl+Left Arrow
Incr. Lmt price             | Ctrl+Shift+Right Arrow
Decr. Lmt price             | Ctrl+Shift+Left Arrow
                            |
Incr. size 5 ticks          | Shift+Up Arrow
Decr. size 5 ticks          | Shift+Down Arrow
Incr. size                  | Shift+Right Arrow
Decr. size                  | Shift+Left Arrow
                            |
Transmit                    | Ctrl+Shift+Up Arrow
Deactivate                  | Ctrl+Shift+Down Arrow
                            |
Select Next Order           | Down Arrow
Duplicate Order             | Ctrl+D
Select Previous Order       | Up Arrow
                            |
Restore Order               | Ctrl+Down Arrow
                            |
Update Orders               | Ctrl+Up Arrow (selected 0 tick0)
Update Orders               | Ctrl+Shift+Del (all 100 ticks)
Update Orders               | Ctrl+Shift+End (all 50 ticks)
Update Orders               | Ctrl+Shift+Page Down (all 25 ticks)
Update Orders               | Ctrl+Shift+Insert (all 15 ticks)
Update Orders               | Ctrl+Shift+Home (all 5 ticks)
Update Orders               | Ctrl+Shift+Page Up (all -3 ticks)
Update Orders               | Ctrl+Home (Sells +50 ticks)
Update Orders               | Ctrl+End (Buys -50 ticks)
                            |
Sell TRAIL LIMIT            | Shift+Home
Buy TRAIL LIMIT             | Shift+End
Add Trailing Stop Order     | Ctrl+Shift+T
                            |
Incr. Aux price 100 ticks   | Page Up
Decr. Aux price 100 ticks   | Page Down
Incr. Aux price             | Ctrl+Page Up
Decr. Aux price             | Ctrl+Page Down
                            |
Increase Bar Width          | Ctrl+Insert
Decrease Bar Width          | Ctrl+Del
                            |
Show Hotkey Popup           | Ctrl-H
                            |
Undo                        | Ctrl+Z
Redo                        | Ctrl+Y
                            |
Configure Order Presets     | Ctrl+Shift+C
Add Stop Limit Order        | Ctrl+Cancel
Order Ticket                | Ctrl+O
Close Position              | Ctrl+Shift+Cancel
Modify Time-in-Force        | Ctrl+T
Search Trader Workstation   | Ctrl-F
Edit                        | Esc
Zoom out                    | Alt+Left Arrow
Modify Order Type           | T

Version: 25/10/21/21:09
